Time,Text
12/19/2025 5:47,Order 2575145096 for symbol OANDA:XAUUSD has been executed at price 4329.490 for 280 units
12/19/2025 5:47,Order 2575145391 successfully cancelled
12/19/2025 5:44,Order 2575145096 modification confirmed
12/19/2025 5:44,Order 2575145391 successfully placed
12/19/2025 5:44,Modify position for symbol OANDA:XAUUSD with SL 4331.307 and TP 4329.539
12/19/2025 5:43,Order 2575145096 successfully placed
12/19/2025 5:43,Modify position for symbol OANDA:XAUUSD with TP 4329.539
12/19/2025 5:40,Order 2575141275 for symbol OANDA:XAUUSD has been executed at price 4330.950 for 280 units
12/19/2025 5:40,Order 2575141275 successfully placed
12/19/2025 5:40,Call to place market order to sell 280 units of symbol OANDA:XAUUSD 
12/19/2025 3:05,Order 2574957021 for symbol BLACKBULL:US30 has been executed at price 47912.00 for 28 units
12/19/2025 3:05,Order 2574956854 successfully cancelled
12/19/2025 3:02,Order 2574956854 modification confirmed
12/19/2025 3:02,Order 2574957021 modification confirmed
12/19/2025 3:02,Modify position for symbol BLACKBULL:US30 with SL 47908.60 and TP 47899.20
12/19/2025 3:02,Order 2574956854 modification confirmed
12/19/2025 3:02,Order 2574957021 modification confirmed
12/19/2025 3:02,Modify position for symbol BLACKBULL:US30 with SL 47910.54 and TP 47899.20
12/19/2025 2:57,Order 2574956854 modification confirmed
12/19/2025 2:57,Order 2574957021 modification confirmed
12/19/2025 2:57,Modify position for symbol BLACKBULL:US30 with SL 47913.27 and TP 47899.20
12/19/2025 2:52,Order 2574956854 modification confirmed
12/19/2025 2:52,Order 2574957021 modification confirmed
12/19/2025 2:52,Modify position for symbol BLACKBULL:US30 with SL 47915.18 and TP 47899.20
12/19/2025 2:51,Order 2574956854 modification confirmed
12/19/2025 2:51,Order 2574957021 modification confirmed
12/19/2025 2:51,Modify position for symbol BLACKBULL:US30 with SL 47915.18 and TP 47898.56
12/19/2025 2:48,Order 2574956854 modification confirmed
12/19/2025 2:48,Order 2574957021 modification confirmed
12/19/2025 2:48,Modify position for symbol BLACKBULL:US30 with SL 47923.17 and TP 47898.56
12/19/2025 2:48,Order 2574956854 modification confirmed
12/19/2025 2:48,Order 2574957021 modification confirmed
12/19/2025 2:48,Modify position for symbol BLACKBULL:US30 with SL 47919.17 and TP 47898.56
12/19/2025 2:46,Order 2574956854 modification confirmed
12/19/2025 2:46,Order 2574957021 modification confirmed
12/19/2025 2:46,Modify position for symbol BLACKBULL:US30 with SL 47923.84 and TP 47898.56
12/19/2025 2:45,Order 2574956854 modification confirmed
12/19/2025 2:45,Order 2574957021 modification confirmed
12/19/2025 2:45,Modify position for symbol BLACKBULL:US30 with SL 47934.25 and TP 47898.56
12/19/2025 2:43,Order 2574956854 modification confirmed
12/19/2025 2:43,Order 2574957021 modification confirmed
12/19/2025 2:43,Modify position for symbol BLACKBULL:US30 with SL 47952.10 and TP 47898.56
12/19/2025 2:41,Order 2574956854 modification confirmed
12/19/2025 2:41,Order 2574957021 successfully placed
12/19/2025 2:41,Modify position for symbol BLACKBULL:US30 with SL 47959.75 and TP 47898.56
12/19/2025 2:41,Order 2574956854 successfully placed
12/19/2025 2:41,Modify position for symbol BLACKBULL:US30 with TP 47898.56
12/19/2025 2:41,Order 2574956188 for symbol BLACKBULL:US30 has been executed at price 47935.00 for 28 units
12/19/2025 2:41,Order 2574956188 successfully placed
12/19/2025 2:41,Call to place market order to sell 28 units of symbol BLACKBULL:US30 
12/19/2025 1:29,Order 2574768755 for symbol BLACKBULL:US30 has been executed at price 47920.00 for 28 units
12/19/2025 1:29,Order 2574778057 successfully cancelled
12/19/2025 1:29,Order 2574778057 successfully placed
12/19/2025 1:29,Order 2574768755 modification confirmed
